"MES","MEDIA_SELIC","MIN_SELIC","MAX_SELIC","QTD_REGISTROS"
"2020-01",0.017089,0.017089,0.017089,22
"2020-02",0.016296,0.016137,0.017089,18
"2020-03",0.015356,0.014227,0.016137,22
"2020-04",0.014227,0.014227,0.014227,20
"2020-05",0.011777,0.011345,0.014227,20
"2020-06",0.010101,0.008442,0.011345,21
"2020-07",0.008442,0.008442,0.008442,23
"2020-08",0.007608,0.007469,0.008442,21
"2020-09",0.007469,0.007469,0.007469,21
"2020-10",0.007469,0.007469,0.007469,21
"2020-11",0.007469,0.007469,0.007469,20
"2020-12",0.007469,0.007469,0.007469,22
"2021-01",0.007469,0.007469,0.007469,20
"2021-02",0.007469,0.007469,0.007469,18
"2021-03",0.008734,0.007469,0.010379,23
"2021-04",0.010379,0.010379,0.010379,20
"2021-05",0.012856,0.010379,0.013269,21
"2021-06",0.014635,0.013269,0.016137,21
"2021-07",0.016137,0.016137,0.016137,22
"2021-08",0.019413,0.016137,0.01993,22
"2021-09",0.021003,0.01993,0.023687,21
"2021-10",0.024244,0.023687,0.029256,20
"2021-11",0.029256,0.029256,0.029256,20
"2021-12",0.033316,0.029256,0.034749,23
"2022-01",0.034749,0.034749,0.034749,21
"2022-02",0.039598,0.034749,0.040168,19
"2022-03",0.041954,0.040168,0.043739,22
"2022-04",0.043739,0.043739,0.043739,19
"2022-05",0.046796,0.043739,0.047279,22
"2022-06",0.048116,0.047279,0.049037,21
"2022-07",0.049037,0.049037,0.049037,21
"2022-08",0.05056,0.049037,0.050788,23
"2022-09",0.050788,0.050788,0.050788,21
"2022-10",0.050788,0.050788,0.050788,20
"2022-11",0.050788,0.050788,0.050788,20
"2022-12",0.050788,0.050788,0.050788,22
"2023-01",0.050788,0.050788,0.050788,22
"2023-02",0.050788,0.050788,0.050788,18
"2023-03",0.050788,0.050788,0.050788,23
"2023-04",0.050788,0.050788,0.050788,18
"2023-05",0.050788,0.050788,0.050788,22
"2023-06",0.050788,0.050788,0.050788,21
"2023-07",0.050788,0.050788,0.050788,21
"2023-08",0.049189,0.049037,0.050788,23
"2023-09",0.048422,0.047279,0.049037,20
"2023-10",0.047279,0.047279,0.047279,21
"2023-11",0.045601,0.045513,0.047279,20
"2023-12",0.044537,0.043739,0.045513,20
"2024-01",0.043739,0.043739,0.043739,22
"2024-02",0.041957,0.041957,0.041957,19
"2024-03",0.04142,0.040168,0.041957,20
"2024-04",0.040168,0.040168,0.040168,22
"2024-05",0.039484,0.03927,0.040168,21
"2024-06",0.03927,0.03927,0.03927,20
"2024-07",0.03927,0.03927,0.03927,23
"2024-08",0.03927,0.03927,0.03927,22
"2024-09",0.039612,0.03927,0.040168,21
"2024-10",0.040168,0.040168,0.040168,23
"2024-11",0.04158,0.040168,0.041957,19
"2024-12",0.044158,0.041957,0.045513,21
